X,Y,NAME,ADDRESS,LINE,TRAININFO_URL,WEB_URL,GIS_ID,MAR_ID,GLOBALID,OBJECTID,CREATOR,CREATED,EDITOR,EDITED,SE_ANNO_CAD_DATA
-76.9114664634741,38.8264541240316,Branch Ave,"4704 OLD SOPER ROAD, SUITLAND, MD",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F11|Branch Ave,https://www.wmata.com/rider-guide/stations/branch-ave.cfm,MetroStnFullPt_35,,{92A8B776-C7DD-4E1A-A9BF-83DBBFE3320F},641,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0536698633194,38.8141514352384,Braddock Road,"700 N. WEST ST., ALEXANDRIA, VA","blue, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C12|Braddock Road,https://www.wmata.com/rider-guide/stations/braddock-rd.cfm,MetroStnFullPt_36,,{29FC24FF-2132-4F11-9D55-00ED0AD62B0E},642,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0608134995665,38.8065938834049,King St-Old Town,"1900 KING STREET, ALEXANDRIA, VA","blue, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C13|King St-Old Town,https://www.wmata.com/rider-guide/stations/king-street.cfm,MetroStnFullPt_37,,{AC34C280-68C2-473F-88C6-7178859F27F1},643,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0708766830918,38.8004332142391,Eisenhower Ave,"2400 EISENHOWER AVENUE, ALEXANDRIA, VA",yellow,https://www.wmata.com/js/nexttrain/nexttrain.html#C14|Eisenhower Avenue,https://www.wmata.com/rider-guide/stations/eisenhower-ave.cfm,MetroStnFullPt_38,,{C137D724-61A0-4191-A166-14CADEF67A07},644,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0752080838784,38.7939236159681,Huntington,"2701 HUNTINGTON AVENUE, ALEXANDRIA, VA",yellow,https://www.wmata.com/js/nexttrain/nexttrain.html#C15|Huntington,https://www.wmata.com/rider-guide/stations/huntington.cfm,MetroStnFullPt_39,,{68ACB463-D755-47C0-8907-AF039EDA5A8E},645,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-76.9953730128321,38.8629708967766,Anacostia,"1101 HOWARD ROAD SE, WASHINGTON, DC",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F06|Anacostia,https://www.wmata.com/rider-guide/stations/anacostia.cfm,MetroStnFullPt_40,294866,{9F18B9CF-3BD8-4F44-8E93-945E4094B4BF},646,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-76.9960034023081,38.8846300451652,Eastern Market,"725 PENNSYLVANIA AVENUE SE, WASHINGTON, DC","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#D06|Eastern Market,https://www.wmata.com/rider-guide/stations/eastern-market.cfm,MetroStnFullPt_41,316432,{1DC8CD5F-3F86-4D31-BF06-CF5BACDD10D8},647,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-76.9854975917707,38.8812710576686,Potomac Ave,"1400 POTOMAC AVENUE SE, WASHINGTON, DC","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#D07|Potomac Ave,https://www.wmata.com/rider-guide/stations/potomac-ave.cfm,MetroStnFullPt_42,316349,{71C3B56E-28AF-4969-BC06-3BF7FA3848EB},648,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-76.9770911712712,38.8867168752895,Stadium-Armory,"290 19TH STREET SE, WASHINGTON, DC","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#D08|Stadium-Armory,https://www.wmata.com/rider-guide/stations/stadium-armory.cfm,MetroStnFullPt_43,316351,{809642E3-BB43-4F8E-884F-294C98299B54},649,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-76.9959391944564,38.9210674808595,Rhode Island Ave-Brentwood,"801 RHODE ISLAND AVENUE NE, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B04|Rhode%20Island%20Ave-Brentwood,https://www.wmata.com/rider-guide/stations/rhode-island-ave.cfm,MetroStnFullPt_44,316413,{F115102F-4192-48E5-9937-F3903C8CD50F},650,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-76.9467499947779,38.8991990121813,Minnesota Ave,"4120 MINNESOTA AVENUE NE, WASHINGTON, DC",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D09|Minnesota Ave,https://www.wmata.com/rider-guide/stations/minnesota-ave.cfm,MetroStnFullPt_45,316352,{A37E238C-D6C1-4D31-BC6A-8658C4D16EB0},651,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0629884805507,38.9432730819699,Van Ness-UDC,"4230 CONNECTICUT AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A06|Van%20Ness-UDC,https://www.wmata.com/rider-guide/stations/van-ness.cfm,MetroStnFullPt_46,316424,{AB085E4E-6BEE-46F6-B9DE-CA9F0B43BABC},652,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0580448171052,38.9347706829249,Cleveland Park,"3514 CONNECTICUT AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A05|Cleveland Park,https://www.wmata.com/rider-guide/stations/cleveland-park.cfm,MetroStnFullPt_47,277555,{981A997C-18E7-4EF9-B2D5-4CD16CD5318B},653,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0325544073219,38.9278457591984,Columbia Heights,"3030 14TH STREET NW, WASHINGTON, DC","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E04|Columbia Heights,https://www.wmata.com/rider-guide/stations/columbia-hghts.cfm,MetroStnFullPt_48,294815,{4E383C34-8A11-4A48-B948-B8A0597F0446},654,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.2415603517124,38.9289596276567,Spring Hill,"1576 SPRING HILL ROAD VIENNA, VA 22182",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N04|Spring%20Hill,https://www.wmata.com/rider-guide/stations/spring-hill.cfm,MetroStnFullPt_49,,{B7A1620C-B527-45F6-9C79-45CF95BD95BD},655,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.233880199548,38.9209631790513,Greensboro,"8305 LEESBURG PIKE VIENNA, VA 22182",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N03|Greensboro,https://www.wmata.com/rider-guide/stations/greensboro.cfm,MetroStnFullPt_50,,{C854F20C-52BC-4DFC-830A-A3924CC352B2},656,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.2217180330483,38.9206820540508,Tysons,"1943 CHAIN BRIDGE ROAD MCLEAN, VA 22102",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N02|Tysons%20Corner,https://www.wmata.com/rider-guide/stations/tysons.cfm,MetroStnFullPt_51,,{C20F7ACA-3301-4036-AA2F-8AE7EC6E2775},657,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.2100812932053,38.9245295516699,McLean,"1824 DOLLEY MADISON BOULIVARD MCLEAN, VA 22102",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N01|McLean,https://www.wmata.com/rider-guide/stations/mclean.cfm,MetroStnFullPt_52,,{DE828471-044E-4009-BFEB-9F09AD06D261},658,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-76.8718435273078,38.9477926575059,New Carrollton,"4700 GARDEN CITY DRIVE, NEW CARROLLTON, MD",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D13|New Carrollton,https://www.wmata.com/rider-guide/stations/new-carrollton.cfm,MetroStnFullPt_70,,{5E6AA600-FF45-4585-BBAA-856853D9899D},659,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-76.8912002135252,38.9335140325296,Landover,"3000 PENNSY DRIVE, HYATTSVILLE, MD",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D12|Landover,https://www.wmata.com/rider-guide/stations/landover.cfm,MetroStnFullPt_71,,{9DD26505-CB95-4ECF-9F70-F918DF136D7F},660,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-76.9166302968683,38.9166396483886,Cheverly,"5501 COLUMBIA PARK, CHEVERLY, MD 
",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D11|Cheverly,https://www.wmata.com/rider-guide/stations/cheverly.cfm,MetroStnFullPt_72,,{57853466-E3C1-4581-956F-A4B4E6DB386B},661,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-76.8445538708846,38.9006075165335,Downtown Largo,"9000 LOTTSFORD ROAD, LARGO, MD","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G05|Largo Town Center,https://www.wmata.com/rider-guide/stations/downtown-largo.cfm,MetroStnFullPt_73,,{7B93BA76-A584-48EF-8C50-B1CF39E97A89},662,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0030227264183,38.9070240007291,NoMa-Gallaudet U,"1301 2ND STREET NE, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B35|NoMa-Gallaudet U,https://www.wmata.com/rider-guide/stations/new-york-ave.cfm,MetroStnFullPt_74,316364,{CE6374C5-74C1-4321-84FD-78DF92E8BC98},663,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0709109849919,38.8959868801064,Rosslyn,"1850 N. MOORE STREET, ARLINGTON, VA","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#C05|Rosslyn,https://www.wmata.com/rider-guide/stations/rosslyn.cfm,MetroStnFullPt_75,,{BFDCCA71-8337-4C9C-B666-D04DEBD0D74C},664,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0628124255369,38.8846946403712,Arlington Cemetery,"1000 NORTH MEMORIAL DRIVE, ARLINGTON, VA",blue,https://www.wmata.com/js/nexttrain/nexttrain.html#C06|Arlington Cemetery,https://www.wmata.com/rider-guide/stations/arlington-cemetery.cfm,MetroStnFullPt_76,,{2D2B14DD-F8ED-4C26-B99C-A07DFCD10AD2},665,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0434166516056,38.9096058451658,Dupont Circle,"1525 20TH STREET NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A03|Dupont Circle,https://www.wmata.com/rider-guide/stations/dupont-circle.cfm,MetroStnFullPt_77,,{A2575E22-F3EC-4FBD-9D9F-A2533EB3ABDF},666,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0537179660692,38.8694704803745,Pentagon,"2 SOUTH ROTARY ROAD, ARLINGTON, VA","blue, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C07|Pentagon,https://www.wmata.com/rider-guide/stations/pentagon.cfm,MetroStnFullPt_78,,{1F781087-2E29-44DA-BC00-AF784039FE7B},667,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0502921005754,38.8579120973493,Crystal City,"1750 SOUTH CLARK ST., ARLINGTON, VA","blue, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#C09|Crystal City,https://www.wmata.com/rider-guide/stations/crystal-city.cfm,MetroStnFullPt_79,,{70F6FDA2-F3E3-4F64-8D9E-6DE354C07F7C},668,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0050879292944,38.8764888672489,Navy Yard-Ballpark,"1155 NEW JERSEY AVENUE SE, WASHINGTON, DC",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F05|Navy Yard-Ballpark,https://www.wmata.com/rider-guide/stations/navy-yard.cfm,MetroStnFullPt_80,310434,{2C674F9C-CE73-4523-B02E-59C1664409AC},669,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0336364604538,38.9013405831796,McPherson Sq,"1402 I STREET NW, WASHINGTON, DC","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#C02|McPherson Square,https://www.wmata.com/rider-guide/stations/mcpherson-sq.cfm,MetroStnFullPt_81,316430,{FB63C8B0-54DE-4EB9-BCC1-D7BC05301F13},670,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.021913986205,38.9134846603419,Shaw-Howard U,"1801 7TH ST NW, WASHINGTON, DC","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E02|Shaw-Howard%20U,https://www.wmata.com/rider-guide/stations/shaw-howard.cfm,MetroStnFullPt_82,310410,{CD8CE6FF-4382-4668-A87A-1BD781562BB3},671,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-76.9750564052962,38.841093556641,Southern Avenue,"1411 SOUTHERN AVENUE, TEMPLE HILLS, MD",green,https://www.wmata.com/js/nexttrain/nexttrain.html#F08|Southern%20Avenue,https://www.wmata.com/rider-guide/stations/southern-ave.cfm,MetroStnFullPt_83,,{1DB66F55-54F9-4151-B089-92E0C287DD62},672,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-76.9110598299777,39.0111536734921,Greenbelt,"5717 GREENBELT METRO DRIVE, GREENBELT, MD","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E10|Greenbelt,https://www.wmata.com/rider-guide/stations/greenbelt.cfm,MetroStnFullPt_84,,{E8AB7FE9-199E-458D-A82D-F3AD208546D6},673,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0795896310761,38.9488592292971,Tenleytown-AU,"4501 WISCONSIN AVENUE NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A07|Tenleytown-AU,https://www.wmata.com/rider-guide/stations/tenleytown.cfm,MetroStnFullPt_85,294846,{6581A6F8-18F1-4277-BB96-720298CB096D},674,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.1890971592787,38.900788331407,West Falls Church,"7040 HAYCOCK ROAD, FALLS CHURCH, VA",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#K06|West%20Falls%20Church-VT/UVA,https://www.wmata.com/rider-guide/stations/west-falls-church.cfm,MetroStnFullPt_86,,{A2A12536-FD0D-425C-998D-28414AEB443E},675,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.3400622192864,38.9477406642851,Wiehle-Reston East,"1862 WIEHLE AVENUE RESTON, VA 20190",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N06|Wiehle-Reston%20East,https://www.wmata.com/rider-guide/stations/wiehle-reston.cfm,MetroStnFullPt_53,,{C848030E-1D8D-4599-A966-404F23B5525B},676,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-76.9281272420476,38.9786414397642,College Park-U of Md,"4931 CALVERT ROAD, COLLEGE PARK, MD","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E09|College Park-U of MD,https://www.wmata.com/rider-guide/stations/college-park.cfm,MetroStnFullPt_54,,{430ACADE-D35D-4988-B813-37EC8EE1A724},677,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-76.911810364184,38.889473645299,Capitol Heights,"133 CENTRAL AVENUE, CAPITOL HEIGHTS, MD","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G02|Capitol Heights,https://www.wmata.com/rider-guide/stations/capitol-hghts.cfm,MetroStnFullPt_55,,{1BBABA9D-DEBE-4CF4-95A4-27A01A05A052},678,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-76.8680770044389,38.8938427191441,Morgan Boulevard,"300 GARRETT MORGAN BLVD., LANDOVER, MD","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G04|Morgan Boulevard,https://www.wmata.com/rider-guide/stations/morgan-blvd.cfm,MetroStnFullPt_56,,{DBEE6F8C-40E8-4BAF-95BE-6B6B9EB8E332},679,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0234631914466,38.9374424240925,Georgia Ave-Petworth,"3750 GEORGIA AVENUE NW, WASHINGTON, DC","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E05|Georgia Ave-Petworth,https://www.wmata.com/rider-guide/stations/georgia-ave.cfm,MetroStnFullPt_57,316437,{410B651B-44E7-447F-9304-D86D700B58D7},680,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0181789867943,38.9760863329941,Takoma,"327 CEDAR STREET NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B07|Takoma,https://www.wmata.com/rider-guide/stations/takoma.cfm,MetroStnFullPt_58,294822,{DDF7F2C1-C5E0-487C-B715-9CBCA7C05B36},681,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0535596637348,39.061791583367,Glenmont,"12501 GEORGIA AVENUE, SILVER SPRING, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B11|Glenmont,https://www.wmata.com/rider-guide/stations/glenmont.cfm,MetroStnFullPt_59,,{79EB246F-D44F-4B85-825A-F2400F42A60D},682,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0501093553323,39.037534956767,Wheaton,"11171 GEORGIA AVENUE, SILVER SPRING, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B10|Wheaton,https://www.wmata.com/rider-guide/stations/wheaton.cfm,MetroStnFullPt_60,,{D9987F99-C00F-4B45-912E-FE8B7AD5DE03},683,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0429188530732,39.0149620841024,Forest Glen,"9730 GEORGIA AVENUE, FOREST GLEN, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B09|Forest Glen,https://www.wmata.com/rider-guide/stations/forest-glen.cfm,MetroStnFullPt_61,,{54992DEC-7A45-41D1-A18F-5C34488DE26C},684,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0310201199989,38.9939571798124,Silver Spring,"8400 COLESVILLE ROAD, SILVER SPRING, MD",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B08|Silver%20Spring,https://www.wmata.com/rider-guide/stations/silver-spring.cfm,MetroStnFullPt_62,,{A043879B-FDB8-4ED8-B0A1-868CC0D23D58},685,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-76.9945365631974,38.9332187855283,Brookland-CUA,"890 MONROE STREET NE, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B05|Brookland-CUA,https://www.wmata.com/rider-guide/stations/brookland.cfm,MetroStnFullPt_63,316412,{94BB3DA7-228A-4F2C-8E8A-27CBD49E525C},686,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-77.0022053584327,38.9518545652334,Fort Totten,"201 GALLOWAY STREET NE, WASHINGTON, DC","red, green,yellow","https://www.wmata.com/js/nexttrain/nexttrain.html#B06,E06|Fort Totten",https://www.wmata.com/rider-guide/stations/fort-totten.cfm,MetroStnFullPt_64,316355,{D90DDFC9-78BD-4E0A-8E80-B0EFBC2A216F},687,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-76.9558837759004,38.9653932479519,Hyattsville Crossing,"3575 EAST WEST HIGHWAY, HYATTSVILLE, MD","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E08|Prince%20George%27s%20Plaza,https://www.wmata.com/rider-guide/stations/hyattsville-xing.cfm,MetroStnFullPt_65,,{5866086B-8A11-459A-B1C2-05F5E82D723C},688,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
-76.9695789467579,38.9550479702246,West Hyattsville,"2700 HAMILTON ST., HYATTSVILLE, MD","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E07|West%20Hyattsville,https://www.wmata.com/rider-guide/stations/west-hyattsville.cfm,MetroStnFullPt_66,,{D4B50126-B2F9-4594-9C87-4D47B5EF5E42},689,JLAY,2022/11/30 15:32:57+00,JLAY,2022/11/30 15:32:57+00,
